1,A Very Short Action Story,datafiles/paid/book-1_1,datafiles/paid/cover1
2,When It Rains,datafiles/paid/book-2_1,datafiles/paid/cover2
3,The Father,datafiles/paid/book-3_1,datafiles/paid/cover3
4,His Accidental Pregnancy,datafiles/paid/book-4_1,datafiles/paid/cover4
5,In The Shadow,datafiles/paid/book-5_1,datafiles/paid/cover5
6,The Tell-Tale Heart,datafiles/paid/book-6_1,datafiles/paid/cover6
7,The Hardy Boy A New Ending,datafiles/paid/book-7_1,datafiles/paid/cover7
8,O'Hara's Hat,datafiles/paid/book-8_1,datafiles/paid/cover8
9,The Toys of Peace,datafiles/paid/book-9_1,datafiles/paid/cover9
10,Urban Legends,datafiles/paid/book-10_1,datafiles/paid/cover10
11,Bella's Diary,datafiles/paid/book-11,datafiles/paid/cover11
12,Trying to romance a girl in a chicken suit,datafiles/paid/book-12,datafiles/paid/cover12
13,The Works of Edgar Allan Poe,datafiles/paid/book-13,datafiles/paid/cover13
14,Hollywood Classics,datafiles/paid/book-14,datafiles/paid/cover14
15,A Scandal in Bohemia,datafiles/paid/book-15,datafiles/paid/cover15
16,Choking On Air,datafiles/paid/book-16,datafiles/paid/cover16
17,Love you to Death,datafiles/paid/book-17,datafiles/paid/cover17
18,In Love With My Brother,datafiles/paid/book-18,datafiles/paid/cover18
19,Lost at Sea,datafiles/paid/book-19,datafiles/paid/cover19
20,One Cold Warm Night,datafiles/paid/book-20,datafiles/paid/cover20
